fips	total	salaries	benefits	instruction	instruction_salaries	instruction_benefits	support	pupil_support	staff_support	general_admin	school_admin
21231	9279	5614	2297	5281	3591	1360	3316	414	627	322	417
21233	8563	5220	2067	4484	3107	1159	3572	538	570	296	490
21235	9259	5654	2206	5956	3988	1548	2659	232	287	271	393
21237	11092	6420	2660	6781	4627	1682	3503	301	78	428	561
21239	9155	5353	1933	5617	3653	1275	3023	400	366	190	403
22001	9803	5902	2345	6148	4115	1590	3065	581	412	138	537
22003	10931	6524	2884	6228	4107	1796	4091	788	512	266	804
22005	10201	5822	2771	6020	3913	1849	3705	633	458	200	523
22007	11698	6273	3136	6035	3972	1868	4945	809	777	358	725
22009	10295	4845	2807	5605	3100	1672	3989	435	496	362	568
22011	10112	5895	2598	6000	3943	1581	3583	555	483	301	555
22013	19221	8437	8100	11029	5585	4763	7022	422	902	1131	1289
22015	10206	5826	3095	6030	3753	2019	3659	591	661	187	602
22017	11508	6546	3312	6746	4123	2053	4217	732	683	181	716
22019	10132	5989	2413	5814	3870	1529	3890	816	654	149	622
22021	11802	6784	3217	7152	4603	2159	3793	426	588	324	674
22023	19634	10476	4913	10043	6564	2800	8480	1037	845	903	1234
22025	13612	7684	3965	8295	5262	2594	4503	664	857	284	561
22027	10973	6135	2908	5934	3573	1752	4272	855	621	359	810
22029	10420	5884	2897	6002	3785	1853	3746	605	546	361	632
22031	18954	10680	5512	11165	6764	3285	6771	1013	912	546	1005
22033	12237	6635	3017	6835	4376	1914	4800	873	845	273	596
22035	15488	8481	3718	9579	5790	2518	4886	644	769	437	836
22037	12435	7240	2975	6492	3794	1917	5408	643	1609	393	680
22039	9983	5472	2703	5760	3630	1801	3589	653	443	204	568
22041	10130	5462	2847	5743	3397	1771	3741	429	838	212	582
22043	11179	6209	3053	6893	4449	2019	3703	447	590	201	573
22045	9658	5819	2127	5607	3852	1417	3407	615	430	162	469
22047	13613	7079	3208	6950	4176	1800	5840	584	1079	564	697
22049	11005	6473	2744	6708	4422	1723	3587	485	649	333	485
22051	11916	6299	2970	6637	3984	1962	4794	791	772	580	736
22053	10777	6157	2967	6123	3763	1834	3908	731	606	238	670
22055	10373	6128	2514	6250	4142	1673	3624	887	510	154	494
22057	10272	6077	2397	5459	3649	1472	4239	1077	381	178	566
22059	10313	5624	2913	6104	3812	1837	3505	354	539	248	619
22061	11764	6985	2990	7028	4647	1860	4040	719	690	252	714
22063	8940	5350	2324	5505	3532	1532	2912	663	439	130	425
22065	10883	6012	2469	6054	3747	1478	4042	701	837	362	384
22067	12369	6567	3387	7084	4257	2259	4675	666	1281	279	641
22069	13588	7817	3584	9049	6029	2603	3945	628	582	211	632
22071	17553	7883	2733	8502	5083	1861	7465	962	742	963	1188
22073	12336	7364	3208	6917	4478	2018	4776	840	828	196	735
22075	15356	8355	3427	7528	4667	1924	7213	1032	1040	421	683
22077	11116	5789	2754	5786	3527	1611	4713	739	919	368	530
22079	9603	5525	2721	5880	3800	1843	3109	531	414	159	631
22081	17965	11409	3820	10140	7011	2230	6757	1033	976	646	1442
22083	11150	6520	2796	6550	4251	1768	3848	389	496	318	898
22085	12976	7715	3284	7772	5186	2089	4429	639	964	185	547
22087	13576	6403	3544	8411	4286	2423	4545	785	549	360	543
22089	14857	8411	3877	8672	5255	2593	5535	737	641	396	879
22091	11646	6300	2898	5903	3706	1503	4954	379	1113	545	577
22093	14448	7837	3302	7709	4992	2054	5962	893	717	504	1093
22095	11680	6778	3023	7192	4563	2106	3919	730	248	279	715
22097	11736	7152	3470	8053	5356	2456	3020	509	279	199	581
22099	9213	5653	2192	5466	3765	1383	3089	541	402	174	470
22101	10828	6451	2318	6176	4199	1485	4003	615	580	217	730
