Player	Rank	Position	Team	Fantasy Team	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
DeMar DeRozan	56	SG	TOR	Justin's Neat Team	1.405518099	-0.591576317	0.472511529	-0.314223132	1.985591551	-0.289745726	0.4975011	0.371290665	-0.251267279	-0.474564293	0.429	0.824	0.8	22.7	4.3	4	1.1	0.4	2.2
Brandan Wright	57	PF	DAL	#N/A	1.334669833	4.212317806	-0.495425968	-1.319737156	-1.049764498	-0.327645755	-1.219711769	-0.788992664	0.726426412	1.597203426	0.677	0.726	0	9.1	4.2	0.5	0.6	0.9	0.6
Derrick Favors	58	C	UTAH	Derp Squad	1.303218527	1.209883979	-1.058410022	-1.319737156	-0.11237513	1.377855574	-0.876269196	0.139234	1.899658842	0.043377637	0.522	0.669	0	13.3	8.7	1.2	1	1.5	1.8
DeMarre Carroll	59	SF	ATL	#N/A	1.267891442	0.202615857	-0.031211046	0.314223132	-0.603388609	0.165054629	-0.581889847	1.299517329	-0.446806017	0.949776014	0.47	0.773	1.3	11.1	5.5	1.8	1.5	0.3	1.1
Gerald Green	60	SG	PHX	#N/A	1.2308996	-0.281647663	0.709557447	1.822494168	0.445594732	-0.630845992	-0.729079521	-0.092822666	-0.05572854	0.043377637	0.445	0.848	2.5	15.8	3.4	1.5	0.9	0.5	1.8
Jose Calderon	61	PG	DAL	Jason's Neat Team	1.165385693	-0.068571714	0.482388442	1.696804915	-0.536432225	-1.009846287	0.840943674	-0.092822666	-0.837883493	0.690805049	0.456	0.825	2.4	11.4	2.4	4.7	0.9	0.1	1.3
Monta Ellis	62	SG	DAL	Spurtability	1.121026773	-0.165424419	0.116942653	-0.314223132	1.159796155	-0.555045933	1.331575922	1.763630661	-0.446806017	-1.769419117	0.451	0.788	0.8	19	3.6	5.7	1.7	0.3	3.2
J.J. Redick	63	SG	LAC	Full-On Splits	1.063131882	-0.087942255	1.371310633	1.319737156	0.311681965	-1.123546376	-0.385636947	-0.324879332	-0.837883493	0.820290531	0.455	0.915	2.1	15.2	2.1	2.2	0.8	0.1	1.2
Gordon Hayward	64	SG	UTAH	Full-On Splits	0.949675033	-0.90150497	0.393496223	0.062844626	0.53486991	0.01345451	1.086259798	1.067460663	-0.05572854	-1.251477188	0.413	0.816	1.1	16.2	5.1	5.2	1.4	0.5	2.8
Jimmy Butler	65	SG	CHI	FOOSHBAGS	0.850110272	-1.211433623	-0.070718699	-0.062844626	-0.157012719	-0.062345549	-0.189384048	2.227743992	-0.05572854	0.431834084	0.397	0.769	1	13.1	4.9	2.6	1.9	0.5	1.5
