Player	2016 Fantasy Points	Score_Q	FG%_Q	FT%_Q	3PM_Q	PTS_Q	REB_Q	AST_Q	ST_Q	BLK_Q	TO_Q	FG%	FT%	3PM	PTS	REB	AST	ST	BLK	TO
Nik Stauskas	8.5	-4.777	-1.363	0.02	0.476	-1.123	-1.01	-0.49	-0.815	-0.472	0.599	38.5	77.1	1.5	8.5	2.5	1.9	0.6	0.3	1.3
Mirza Teletovic	12.2	-2.491	-0.539	0.049	1.45	-0.321	-0.5	-0.883	-1.275	-0.472	0.857	42.7	77.4	2.3	12.2	3.8	1.1	0.4	0.3	1.1
Michael Beasley	12.8	-1.921	1.326	0.068	-1.106	-0.191	-0.068	-1.03	-0.815	-0.105	0.728	52.2	77.6	0.2	12.8	4.9	0.8	0.6	0.5	1.2
Marcus Smart	9.1	-2.65	-2.09	0.077	-0.132	-0.993	-0.343	0.05	1.253	-0.472	0.599	34.8	77.7	1	9.1	4.2	3	1.5	0.3	1.3
Jerryd Bayless	10.4	-1.893	-0.618	0.087	0.963	-0.711	-0.932	0.099	-0.126	-0.655	0.47	42.3	77.8	1.9	10.4	2.7	3.1	0.9	0.2	1.4
Rudy Gay	17.2	2.283	0.168	0.106	-0.01	0.763	0.559	-0.588	1.023	0.262	-0.305	46.3	78	1.1	17.2	6.5	1.7	1.4	0.7	2
Avery Bradley	15.2	0.788	-0.146	0.106	0.963	0.329	-0.853	-0.392	1.253	-0.472	0.47	44.7	78	1.9	15.2	2.9	2.1	1.5	0.3	1.4
Trevor Ariza	12.7	2.027	-0.755	0.134	1.45	-0.213	-0.225	-0.294	2.402	-0.472	0.47	41.6	78.3	2.3	12.7	4.5	2.3	2	0.3	1.4
Gerald Green	8.9	-5.383	-1.226	0.134	0.111	-1.036	-1.049	-1.03	-0.815	-0.472	1.373	39.2	78.3	1.2	8.9	2.4	0.8	0.6	0.3	0.7
Lance Stephenson	8.3	-4.243	0.521	0.144	-0.862	-1.167	-0.735	-0.49	-0.815	-0.839	0.47	48.1	78.4	0.4	8.3	3.2	1.9	0.6	0.1	1.4
Monta Ellis	13.8	1.896	-0.539	0.163	-0.01	0.026	-0.696	0.885	2.172	-0.105	-0.95	42.7	78.6	1.1	13.8	3.3	4.7	1.9	0.5	2.5
Brook Lopez	20.6	3.8	1.11	0.172	-1.349	1.499	1.069	-0.441	-0.356	2.096	-0.821	51.1	78.7	0	20.6	7.8	2	0.8	1.7	2.4
