player	initials	team	pos	pick	value	own
Cam Newton	CN	Car	QB	47.9	14.1	100
DeSean Jackson	DJ	Wsh	WR	48.1	14.3	100
Roddy White	RW	Atl	WR	49.8	15.2	100
Percy Harvin	PH	Sea	WR	50.2	13.5	100
Michael Crabtree	MC	SF	WR	54.5	12.5	100
Seahawks D/ST	SD	Sea	D/ST	55.5	9.3	100
Rashad Jennings	RJ	NYG	RB	57.9	11.7	100
Nick Foles	NF	Phi	QB	58.2	10.7	100
Jason Witten	JW	Dal	TE	58.8	8.8	100
Ray Rice	RR	Bal	RB	61.1	12.2	100
Toby Gerhart	TG	Jac	RB	61.3	11.3	100
Cordarrelle Patterson	CP	Min	WR	62	11.9	100
Tom Brady	TB	NE	QB	62.2	11.4	100
Torrey Smith	TS	Bal	WR	62.5	10.2	100
