geoid	pop	white	black	amerind	asian	hawaiian	other	two	hispanic	povrate	income	noed	high	associates	bachelors	masters	prof	phd
110010093013	811	317	410	21	31	0	11	21	69	0.05918619	40271	0.055292259	0.524486572	0.014218009	0.282780411	0.058451817	0.064770932	0
110010093014	938	248	616	0	47	11	0	16	12	0.134328358	33743	0.020249221	0.434579439	0.043613707	0.158878505	0.258566978	0.040498442	0.043613707
110010093021	1092	168	778	0	138	0	0	8	21	0.031135531	36788	0.140350877	0.473684211	0.053884712	0.147869674	0.126566416	0.026315789	0.031328321
110010094001	736	19	717	0	0	0	0	0	0	0.066576087	37771	0.07925801	0.460370995	0	0.200674536	0.209106239	0.038785835	0.011804384
110010094002	1110	104	955	33	0	0	18	0	60	0.092792793	41910	0.058902276	0.435073628	0.101740295	0.236947791	0.109772423	0.032128514	0.025435074
110010094003	1710	456	1139	0	19	0	59	37	251	0.271495878	26863	0.08681672	0.561897106	0.057073955	0.093247588	0.159967846	0	0.040996785
110010094004	739	187	529	15	0	0	8	0	145	0.071718539	41585	0.088888889	0.367521368	0.052991453	0.167521368	0.227350427	0.076923077	0.018803419
110010095011	2500	342	1660	0	0	0	498	0	751	0.16626506	17590	0.220230474	0.556338028	0.067221511	0.071702945	0.050576184	0.02240717	0.011523688
110010095012	932	0	672	0	8	0	243	9	273	0.413984462	17840	0.106542056	0.674766355	0	0.125233645	0.093457944	0	0
110010095013	3574	1575	1815	18	97	0	12	57	114	0.262454435	13281	0.212169736	0.46917534	0.03202562	0.091273018	0.14011209	0.055244195	0
110010095031	1730	134	1568	0	9	0	3	16	87	0.083815029	34554	0.053970702	0.392444102	0.047802621	0.292212799	0.168851195	0.040092521	0.00462606
110010095032	728	145	583	0	0	0	0	0	1	0.273529412	31419	0.059352518	0.595323741	0.09352518	0.18705036	0.04676259	0.017985612	0
110010095033	799	171	610	0	0	0	0	18	2	0.372574386	26302	0.05988024	0.265469062	0.041916168	0.325349301	0.291417166	0	0.015968064
110010095041	1431	248	873	7	0	0	243	60	293	0.111111111	37110	0.04376784	0.509990485	0.027592769	0.091341579	0.230256898	0.015223597	0.081826832
110010095042	1416	179	1217	0	20	0	0	0	22	0.104240283	33021	0.204455052	0.479713604	0.011933174	0.162291169	0.094669849	0.030230708	0.016706444
110010095051	956	0	660	0	18	0	245	33	245	0.10041841	29104	0.231966054	0.524752475	0.026874116	0.132956153	0.067892504	0	0.015558699
110010095052	797	9	755	0	33	0	0	0	0	0.09033877	33034	0.149441341	0.458100559	0	0.266759777	0.081005587	0	0.044692737
110010095053	955	16	928	0	11	0	0	0	14	0.170550847	24089	0.086799277	0.625678119	0	0.157323689	0.088607595	0.021699819	0.019891501
110010095071	1546	99	1416	0	22	0	0	9	148	0.041397154	34134	0.093333333	0.528888889	0.077333333	0.161777778	0.109333333	0.029333333	0
110010095081	743	111	539	0	81	0	0	12	0	0.169582773	26774	0.119250426	0.461669506	0.01362862	0.226575809	0.148211244	0.015332198	0.015332198
110010095082	1831	79	1361	0	0	0	329	62	329	0.086837794	27785	0.070202808	0.481279251	0.047581903	0.230889236	0.161466459	0.008580343	0
110010095083	1056	0	919	0	0	0	137	0	211	0.09469697	29497	0.03125	0.580528846	0.151442308	0.159855769	0.045673077	0.03125	0
110010095091	1364	24	1150	0	0	0	190	0	190	0.028592375	31658	0.134705332	0.579981291	0.094480823	0.092609916	0.047708138	0.010289991	0.040224509
110010095092	896	15	881	0	0	0	0	0	0	0.069196429	31269	0.045941807	0.496171516	0.068912711	0.223583461	0.105666156	0.029096478	0.030627871
110010095093	1033	274	759	0	0	0	0	0	200	0.076476283	26310	0.193675889	0.441370224	0.025032938	0.144927536	0.17654809	0.018445323	0
110010096011	2521	2	2480	0	0	0	7	32	7	0.430561082	16940	0.277915633	0.455748553	0.025641026	0.136476427	0.104218362	0	0
110010096021	1488	11	1376	0	0	0	101	0	112	0.363575269	14204	0.256038647	0.623188406	0.010869565	0.078502415	0.031400966	0	0
